Date,0C Magnetic Field - X ([nT]),0B Magnetic Field - Y ([nT]),0A Magnetic Field - Z ([nT]),
2016-01-20 00:00:00,-49731.2,19453.2,-136336.66,
2016-01-20 00:01:00,-49919.2,,,
2016-01-20 00:02:00,-49758.2,19305.4,-136121.8,
2016-01-20 00:03:00,-50120.8,19641.2,-136470.94,
2016-01-20 00:04:00,-50080.4,19587.4,-136403.8,
2016-01-20 00:05:00,-49758.2,19224.8,-136108.38,
2016-01-20 00:06:00,-49704.4,19184.6,-136068.1,
2016-01-20 00:07:00,-49691,19198,-136068.1,
2016-01-20 00:08:00,-49704.4,19184.6,-136068.1,
2016-01-20 00:09:00,-49771.6,19238.4,-136068.1,
2016-01-20 00:10:00,-49771.6,19251.8,-136094.96,
2016-01-20 00:11:00,-49691,19211.4,-136068.1,
2016-01-20 00:12:00,-49691,19198,-136081.52,
2016-01-20 00:13:00,-49758.2,19238.4,-136054.66,
2016-01-20 00:14:00,-49650.8,19023.4,-135839.82,
2016-01-20 00:15:00,-49731.2,19224.8,-136068.1,
2016-01-20 00:16:00,-49919.2,19413,-136282.94,
2016-01-20 00:17:00,13327.6,2023.39999999998,46609.6,
2016-01-20 00:18:00,15328.4,3312.39999999999,46676.6,
2016-01-20 00:19:00,15395.6,3218.4,46797.4,
2016-01-20 00:20:00,15785,2600.8,47200.4,
2016-01-20 00:21:00,15865.6,2533.60000000002,47254,
2016-01-20 00:22:00,15919.2,2359,47469,
2016-01-20 00:23:00,15811.8,2560.39999999999,47240.6,
2016-01-20 00:24:00,15771.6,2560.39999999999,47281,
2016-01-20 00:25:00,15744.8,2573.99999999998,47267.4,
2016-01-20 00:26:00,15771.6,2546.99999999999,47281,
2016-01-20 00:27:00,15758.2,2345.59999999999,47791.2,
2016-01-20 00:28:00,15785,2372.40000000001,47791.2,
2016-01-20 00:29:00,15798.4,2426.20000000002,47791.2,
2016-01-20 00:30:00,15516.4,2735.00000000002,47522.6,
2016-01-20 00:31:00,15637.4,2640.99999999998,47562.8,
2016-01-20 00:32:00,-49677.6,19292,-136108.38,
2016-01-20 00:33:00,-50080.4,19614.4,-136430.66,
2016-01-20 00:34:00,-50013.2,19547.2,-136323.24,
2016-01-20 00:35:00,-49583.6,19077.2,-135960.66,
2016-01-20 00:36:00,-49664.2,19131,-135947.24,
2016-01-20 00:37:00,-49637.4,19117.4,-135933.8,
2016-01-20 00:38:00,-49664.2,19157.8,-136054.66,
2016-01-20 00:39:00,-49637.4,19104,-135933.8,
2016-01-20 00:40:00,-49704.4,19184.6,-136014.38,
2016-01-20 00:41:00,-49664.2,19144.4,-136041.24,
2016-01-20 00:42:00,-49744.8,19090.6,-135893.52,
2016-01-20 00:43:00,-49664.2,19171.2,-136068.1,
2016-01-20 00:44:00,-49637.4,19144.4,-136041.24,
2016-01-20 00:45:00,-49892.4,19413,-136323.24,
2016-01-20 00:46:00,-49892.4,19399.4,-136242.66,
2016-01-20 00:47:00,-49677.6,19198,-136108.38,
2016-01-20 00:48:00,-50013.2,19587.4,-136470.94,
2016-01-20 00:49:00,-50040.2,19547.2,-136403.8,
2016-01-20 00:50:00,-49664.2,19171.2,-136054.66,
2016-01-20 00:51:00,-49570.2,19037,-135933.8,
