Date,0C Magnetic Field - X ([nT]),0B Magnetic Field - Y ([nT]),0A Magnetic Field - Z ([nT]),
05-01-2015 10:16:00,-21998.2,10073.6,77340.6,
05-01-2015 10:17:00,-21876.2,9895.2,77424.4,
05-01-2015 10:18:00,-21803.6,9814.2,77458.6,
05-01-2015 10:19:00,-21764.8,9724.40000000002,77489.8,
05-01-2015 10:20:00,-21742.4,9692.39999999999,77496,
05-01-2015 10:21:00,-21759.4,9684.2,77488.8,
05-01-2015 10:22:00,-21785.8,9730.19999999999,77436.8,
05-01-2015 10:23:00,-21722.4,9656.6,77500.4,
05-01-2015 10:24:00,-21705.4,9633.59999999998,77516.6,
05-01-2015 10:25:00,-21721.8,9650.79999999999,77492.4,
05-01-2015 10:26:00,-21781,9685.99999999998,77483,
05-01-2015 11:00:00,-21670.4,9593.40000000001,77564.2,
05-01-2015 12:00:00,-21592,9561.79999999998,77579.6,
05-01-2015 13:00:00,-22258.2,10343.6,76814.8,
05-01-2015 14:00:00,-22136,10198.8,76930.4,
05-01-2015 15:00:00,-21910.8,9930.8,77162.6,
05-01-2015 16:00:00,-21814,9794.99999999998,77249.6,
05-01-2015 17:00:00,-21448,9407.8,77599.2,
05-01-2015 18:00:00,-21471,9446.00000000001,77589.4,
05-01-2015 19:00:00,-21521,9548.19999999999,77525.6,
05-01-2015 20:00:00,-21496.8,9531.20000000002,77560.4,
05-01-2015 21:00:00,-21470,9505.19999999998,77593.8,
05-01-2015 22:00:00,-21386,9405.79999999998,77697,
05-01-2015 23:00:00,-22713,10931.6,76262.8,
05-02-2015 00:00:00,-22083,10228.8,76930.4,
05-02-2015 01:00:00,-21961.2,10041,77129,
05-02-2015 02:00:00,-21891.6,9985.59999999998,77183.2,
05-02-2015 03:00:00,-21584.2,9629.00000000001,77523.4,
05-02-2015 04:00:00,-21575,9616.79999999999,77537.4,
05-02-2015 05:00:00,-21495.8,9518.20000000002,77639,
05-02-2015 06:00:00,-21496.2,9599.20000000002,77551.2,
05-02-2015 07:00:00,-21499.6,9596.39999999998,77541.2,
05-02-2015 08:00:00,-22197.4,10405.2,76784,
05-02-2015 09:00:00,-21992.2,10173.8,77025.4,
05-02-2015 10:00:00,-21859.4,10009.2,77167.6,
05-02-2015 11:00:00,-21835.8,9963.2,77194.4,
05-02-2015 12:00:00,-21525.2,9591.99999999999,77529,
05-02-2015 13:00:00,-21565.6,9649.00000000001,77479.4,
05-02-2015 14:00:00,-21560.8,9638.2,77476.4,
05-02-2015 15:00:00,-21525,9598.39999999999,77515.8,
05-02-2015 16:00:00,-21530.2,9591.20000000001,77519.4,
05-02-2015 17:00:00,-21495,9568.19999999999,77546.2,
05-02-2015 18:00:00,-22331.2,10517.6,76667.6,
05-02-2015 19:00:00,-22023.2,10169.2,76986.2,
05-02-2015 20:00:00,-21953.6,10031,77127,
05-02-2015 21:00:00,-21792.2,9927.79999999998,77209.4,
05-02-2015 22:00:00,-21499.6,9598.39999999999,77540.6,
05-02-2015 23:00:00,-21502,9589.39999999998,77536.4,
05-03-2015 00:00:00,-21393,9460.19999999999,77658.2,
05-03-2015 01:00:00,-21498.6,9576.79999999999,77536,
05-03-2015 02:00:00,-21482,9531.59999999998,77581.2,
