Date,0C Magnetic Field - X ([nT]),0B Magnetic Field - Y ([nT]),0A Magnetic Field - Z ([nT]),
02-28-2015 15:33:00,-3582.99999999998,41288.8,72226.8,
02-28-2015 16:35:00,-3918.40000000001,43068.6,71205.2,
02-28-2015 17:27:00,-3882.4,42835.4,70541,
02-28-2015 18:29:00,-3751.2,43524.8,71029,
02-28-2015 19:31:00,-3634.19999999999,42446.2,71308.6,
02-28-2015 20:33:00,-3741.19999999998,42436.4,71788.6,
02-28-2015 21:35:00,-3986.6,42731.4,71283.8,
02-28-2015 22:37:00,-3781.4,43272,71214,
02-28-2015 23:39:00,-3703.60000000001,42079.4,71640.2,
03-01-2015 00:41:00,-3766.99999999999,42643.6,71172.6,
03-01-2015 02:44:00,-3825.39999999998,42601.2,71161.8,
03-01-2015 03:28:00,-3810.6,42384.6,70812.2,
03-01-2015 04:30:00,-3655.40000000002,42718.4,71228.8,
03-01-2015 05:32:00,-3934.00000000002,43095,70922.6,
03-01-2015 06:34:00,-3684.60000000002,42927,70962.8,
03-01-2015 07:36:00,-3699.20000000001,41999.8,71523.4,
03-01-2015 08:38:00,-3711.8,42139.4,71842.6,
03-01-2015 09:40:00,-3981.2,42487.8,71176.6,
03-01-2015 10:42:00,-3721.40000000001,41775.8,71930.8,
03-01-2015 11:44:00,-3655.19999999999,42084.4,71689,
03-01-2015 12:46:00,-3561.2,41740,71837.4,
03-01-2015 14:49:00,-3640.80000000002,42524.6,71666.6,
03-01-2015 15:51:00,-3626.80000000002,42348,71732.2,
03-01-2015 16:53:00,-3716.19999999999,42027.2,71547.2,
03-01-2015 17:55:00,-3921.8,42654.2,71079,
03-01-2015 18:57:00,-3546.40000000002,42854.2,70836.4,
03-01-2015 19:59:00,-3561.79999999999,42529.6,71652.8,
03-01-2015 21:01:00,-3630.8,42662.8,71289.4,
03-01-2015 22:03:00,-3954.60000000001,43045.6,71135.4,
03-01-2015 23:05:00,-3704.00000000002,42206.8,71430.4,
03-02-2015 00:07:00,-3587.00000000001,42365.6,71913.4,
03-02-2015 01:09:00,-4110.79999999999,42433,71292.8,
03-02-2015 02:11:00,-3976.60000000002,42772.8,71317.4,
03-02-2015 03:13:00,-3612.80000000002,42269,71222.8,
03-02-2015 04:15:00,-3748.80000000002,41743.6,71789.6,
03-02-2015 05:17:00,-4007.40000000002,42435.4,71286.8,
03-02-2015 06:19:00,-3801.99999999999,42300.6,71251.8,
03-02-2015 07:21:00,-3650.39999999999,42390.8,71746.2,
03-02-2015 08:23:00,-3662.19999999999,41661,71659.4,
03-02-2015 09:25:00,-3744.00000000001,42566,71578.6,
03-02-2015 10:27:00,-4083.79999999999,41913.4,71260.4,
03-02-2015 11:29:00,-3657.60000000002,42631,71150,
03-02-2015 12:31:00,-3579.40000000001,41581.8,71627.6,
03-02-2015 13:33:00,-3705.20000000001,42104,71703.4,
03-02-2015 14:35:00,-3940.00000000001,42966.4,71461.8,
03-02-2015 14:57:00,-3816.59999999999,42875,71521.4,
03-02-2015 15:59:00,-3622.00000000001,42970.6,71275.8,
03-02-2015 17:01:00,-3595.2,42164.4,71901.2,
03-02-2015 18:03:00,-4102.79999999998,42488.8,71354.4,
03-02-2015 19:05:00,-3738.8,42304.8,71274.6,
03-02-2015 20:07:00,-3663.2,41697.2,72022.8,
03-02-2015 21:09:00,-3709.00000000001,41707.8,71904,
03-02-2015 22:11:00,-4010.8,42747.4,71217.6,
03-02-2015 23:13:00,-3774.80000000001,42145.8,71332.8,
03-03-2015 00:15:00,-3620.79999999998,42095,71896.4,
03-03-2015 01:17:00,-3586.40000000001,40414.4,72622,
03-03-2015 02:19:00,-3613.79999999998,42942.4,71373.4,
03-03-2015 03:21:00,-3939.6,43069.4,70974,
03-03-2015 04:23:00,-3654.40000000001,42421,71614.6,
03-03-2015 05:25:00,-3558.19999999998,41373,71834.2,
03-03-2015 06:27:00,-3641.40000000002,40890.8,73156.8,
03-03-2015 07:29:00,-3900.00000000001,43440.6,71281.4,
03-03-2015 08:31:00,-3530.20000000002,42208,72057.6,
03-03-2015 09:33:00,-3774.4,42055.8,72130,
03-03-2015 10:35:00,-3643.8,41482.4,72153.2,
03-03-2015 11:37:00,-3860.99999999998,42625.4,71316,
03-03-2015 12:39:00,-3475.99999999999,42075.8,71599.6,
03-03-2015 13:41:00,-3599.40000000001,42289.8,71681.6,
03-03-2015 14:43:00,-3498,41635.8,71768.2,
03-03-2015 15:45:00,-3911.59999999999,42595.4,71384.6,
03-03-2015 16:47:00,-3520.39999999998,42023.2,71601.6,
03-03-2015 17:49:00,-3611.80000000001,42288.8,71789.6,
03-03-2015 18:51:00,-3584.4,42323.4,71646,
03-03-2015 19:53:00,-4014.6,42487.6,71351,
03-03-2015 20:55:00,-3671.60000000002,42308.4,71601,
03-03-2015 21:57:00,-3723.6,42086.4,71986,
03-03-2015 22:59:00,-4240.39999999999,43031.6,70928.8,
03-04-2015 00:01:00,-3954.00000000001,43453.6,71079.8,
03-04-2015 01:03:00,-3737.39999999998,42839.8,71078.6,
03-04-2015 02:05:00,-3723.40000000002,42719.6,71301.8,
03-04-2015 03:07:00,-4160.80000000001,43341.8,70469.4,
03-04-2015 04:09:00,-3828.80000000001,43571,71006.4,
03-04-2015 05:11:00,-3833.8,42525.2,71546,
03-04-2015 06:13:00,-3691.99999999998,42541.8,71373.6,
03-04-2015 07:15:00,-4063.2,43036.8,70845,
03-04-2015 08:17:00,-3888.8,43471.6,70940.2,
03-04-2015 09:19:00,-3631.4,42767.4,71440.8,
03-04-2015 10:21:00,-3605.20000000002,42242.8,71760.6,
03-04-2015 11:23:00,-3516.20000000001,41432.2,72221,
03-04-2015 12:25:00,-3992,42841.8,71521.2,
03-04-2015 13:27:00,-3602.2,42469.2,71655,
03-04-2015 14:29:00,-3562.00000000002,41910.8,71971.2,
03-04-2015 15:31:00,-3598.20000000002,42438.8,71442.2,
03-04-2015 16:33:00,-3920.00000000001,43208.2,71304.4,
03-04-2015 17:35:00,-3521.00000000002,42410.2,71528.2,
03-04-2015 18:37:00,-3592.59999999999,42094,71975.2,
03-04-2015 19:39:00,-3673.80000000002,42464,71519.4,
03-04-2015 20:41:00,-3946.40000000002,42905,70956.2,
03-04-2015 21:43:00,-3619.19999999998,42662,71511.6,
03-04-2015 22:45:00,-3551.4,42407.8,71510.2,
03-04-2015 23:47:00,-3634.6,42619.2,71555.6,
03-05-2015 00:49:00,-3900.79999999999,43184.2,70841.2,
03-05-2015 01:51:00,-3517.20000000002,42724.2,71751,
03-05-2015 02:53:00,-3536.59999999998,42312.8,71402.2,
03-05-2015 03:55:00,-3710.60000000001,43011,71327.6,
03-05-2015 04:57:00,-4104.2,42848.8,71251.4,
03-05-2015 05:59:00,-3628.00000000001,42695.8,71540,
03-05-2015 07:01:00,-3613.19999999998,42227.6,71468.2,
03-05-2015 08:03:00,-4159.8,43218.6,70588.8,
03-05-2015 09:05:00,-4006.19999999998,42981.8,70865.2,
03-05-2015 10:07:00,-3623.99999999998,41930.2,71708.8,
03-05-2015 11:09:00,-3735.40000000001,41851.2,72045.8,
03-05-2015 12:11:00,-3686.80000000001,41771.8,71659.4,
03-05-2015 13:13:00,-4199.00000000002,43052.2,71256,
03-05-2015 14:15:00,-3650.99999999998,42913,71250.6,
03-05-2015 15:17:00,-3574.19999999999,42059.4,71844.6,
03-05-2015 16:19:00,-3403,42150,71794,
03-05-2015 17:21:00,-3814.20000000001,42923.4,71480.4,
03-05-2015 18:23:00,-4156.6,43103,70940.6,
03-05-2015 19:25:00,-3933.00000000001,43487.8,70928,
03-05-2015 20:27:00,-3739.39999999999,42846.2,71382.6,
03-05-2015 21:29:00,-3619.19999999998,43212.6,71125.4,
03-05-2015 22:31:00,-3928.60000000002,43161.6,70741.8,
03-05-2015 23:33:00,-3748.59999999999,42846.8,71220.8,
03-06-2015 00:35:00,-3578.59999999999,42544.4,71190.4,
03-06-2015 01:37:00,-4037.20000000001,42870.2,70662.4,
03-06-2015 02:39:00,-3746.80000000001,43188,71104.4,
03-06-2015 03:41:00,-3686.59999999998,42502.2,71322.2,
03-06-2015 04:43:00,-4249.80000000001,43042.6,70889.6,
03-06-2015 05:45:00,-3977.99999999999,42812.4,71188,
03-06-2015 06:47:00,-3766.8,42655.2,71389,
03-06-2015 07:49:00,-3645.80000000001,42544,71183.6,
03-06-2015 08:51:00,-3673.4,42239.8,71536.2,
03-06-2015 09:53:00,-3986.19999999998,42556.6,71390,
03-06-2015 10:55:00,-3660.19999999998,42194.4,71712,
03-06-2015 11:57:00,-3597.80000000001,41680.4,72110.8,
03-06-2015 12:59:00,-3555.8,41730,72398.2,
03-06-2015 14:01:00,-3941.8,42699.6,71584.2,
03-06-2015 15:03:00,-3788.20000000002,42514.8,71583,
03-06-2015 17:06:00,-3685.39999999999,42677.8,71012.6,
03-06-2015 18:08:00,-4002.60000000001,42615,71039.8,
03-06-2015 19:10:00,-3908.60000000002,42564.6,71025,
03-06-2015 20:12:00,-3694.19999999998,42311,71080.2,
03-06-2015 21:14:00,-3708.79999999998,42542,71266.8,
03-06-2015 22:16:00,-3650.39999999999,42406.4,71293.2,
03-06-2015 23:18:00,-4016.60000000001,43182.6,70516.2,
03-07-2015 00:20:00,-3678.60000000002,42473.2,71333,
03-07-2015 01:22:00,-3748.40000000001,42398.2,71280.8,
03-07-2015 02:24:00,-4072.80000000001,42817.2,70724.4,
03-07-2015 03:26:00,-3640.40000000001,42119,71486.4,
03-07-2015 04:28:00,-3628.79999999999,42431.4,71376,
03-07-2015 05:30:00,-3880.2,42772.6,71034.8,
03-07-2015 06:32:00,-3581.00000000001,42591.6,71408.6,
03-07-2015 07:34:00,-3517.80000000002,42176.6,71811.4,
03-07-2015 08:36:00,-3684.00000000002,42296.6,71489.8,
03-07-2015 09:38:00,-3958.59999999999,43102.6,70438.2,
03-07-2015 10:40:00,-3525.6,42532.4,71650.2,
03-07-2015 11:42:00,-3588.79999999999,41867.8,71881,
03-07-2015 12:44:00,-3630.39999999999,41985.6,71745.2,
03-07-2015 13:46:00,-3976.39999999999,43189.6,71103.4,
03-07-2015 14:48:00,-3649.39999999998,42044.4,71881.2,
03-07-2015 15:50:00,-3549.99999999999,41966.4,71942.6,
03-07-2015 16:52:00,-3926.00000000001,42198.8,71765.8,
03-07-2015 17:54:00,-4025.80000000001,43691.4,70901.2,
03-07-2015 18:56:00,-3724.00000000002,43112.6,70758.8,
03-07-2015 19:58:00,-3790.40000000002,42491,71254.4,
03-07-2015 21:00:00,-3688.6,42577.4,70914.6,
03-07-2015 22:05:00,-3914.99999999998,43474.2,71391.8,
03-07-2015 23:07:00,-3876.4,43247.6,70514.4,
03-08-2015 00:09:00,-3984.4,43326,70625.8,
03-08-2015 01:11:00,-4226.00000000002,42654.6,70436.2,
03-08-2015 04:14:00,-3822.59999999999,42885.2,70934.6,
03-08-2015 05:16:00,-3761.59999999999,42413,71311.8,
03-08-2015 06:18:00,-4274.8,43230,70382.6,
03-08-2015 07:20:00,-4255.99999999999,43266.8,70313.8,
03-08-2015 08:22:00,-3957.80000000001,42848.6,70395.8,
03-08-2015 09:24:00,-3826.8,42634.8,70835,
03-08-2015 10:26:00,-4192.60000000001,42885.2,71023.2,
03-08-2015 11:28:00,-4067.40000000001,43057.6,71095.4,
03-08-2015 12:30:00,-3679.80000000001,41445.8,72592.8,
03-08-2015 13:32:00,-3771.39999999998,41887.2,71999.8,
03-08-2015 14:34:00,-3705.99999999999,42379.4,71728.8,
03-08-2015 15:36:00,-4111.8,43944,70855.4,
03-08-2015 16:38:00,-4007.79999999998,42924.6,70997.6,
03-08-2015 17:40:00,-3763.6,42823.6,71065.6,
03-08-2015 18:42:00,-3700.80000000002,42365.8,71013,
03-08-2015 19:44:00,-4158.99999999998,43888,69924.4,
03-08-2015 20:46:00,-3964.4,42912,70019.2,
03-08-2015 21:48:00,-3793.20000000001,42851.4,70347.8,
03-08-2015 22:50:00,-4038.59999999998,42994,70226.4,
03-08-2015 23:52:00,-3792.2,42895.2,70789.8,
03-09-2015 00:54:00,-3704.60000000001,42632.6,70699.8,
03-09-2015 01:56:00,-4326.6,43728.8,69800,
03-09-2015 02:58:00,-4462.40000000002,42069.2,70974.2,
03-09-2015 04:00:00,-4399.40000000001,44041.4,68952.6,
03-09-2015 05:05:00,-5059.60000000001,44934.8,67652.2,
03-09-2015 06:07:00,-6776.39999999999,46501.4,65091.6,
